date,score,phase,n_indicators
2017-01-03,14.25,1,10
2017-01-04,38.25,2,11
2017-01-05,38.25,2,11
2017-01-06,45.25,2,11
2017-01-09,45.25,2,11
2017-01-10,45.25,2,11
2017-01-11,41.25,2,11
2017-01-12,41.25,2,11
2017-01-13,33.25,2,11
2017-01-17,33.25,2,11
2017-01-18,33.25,2,11
2017-01-19,33.25,2,11
2017-01-20,33.25,2,11
2017-01-23,33.25,2,11
2017-01-24,33.25,2,11
2017-01-25,33.25,2,11
2017-01-26,33.25,2,11
2017-01-27,33.25,2,11
2017-01-30,33.25,2,11
2017-01-31,33.25,2,11
2017-02-01,26.25,2,11
2017-02-02,26.25,2,11
2017-02-03,26.25,2,11
2017-02-06,26.25,2,11
2017-02-07,26.25,2,11
2017-02-08,26.25,2,11
2017-02-09,26.25,2,11
2017-02-10,26.25,2,11
2017-02-13,26.25,2,11
2017-02-14,26.25,2,11
2017-02-15,26.25,2,11
2017-02-16,26.25,2,11
2017-02-17,26.25,2,11
2017-02-21,26.25,2,11
2017-02-22,26.25,2,11
2017-02-23,26.25,2,11
2017-02-24,26.25,2,11
2017-02-27,26.25,2,11
2017-02-28,26.25,2,11
2017-03-01,26.25,2,11
2017-03-02,26.25,2,11
2017-03-03,26.25,2,11
2017-03-06,26.25,2,11
2017-03-07,26.25,2,11
2017-03-08,26.25,2,11
2017-03-09,26.25,2,11
2017-03-10,26.25,2,11
2017-03-13,26.25,2,11
2017-03-14,26.25,2,11
2017-03-15,26.25,2,11
2017-03-16,26.25,2,11
2017-03-17,26.25,2,11
2017-03-20,33.25,2,11
2017-03-21,26.25,2,11
2017-03-22,33.25,2,11
2017-03-23,33.25,2,11
2017-03-24,33.25,2,11
2017-03-27,33.25,2,11
2017-03-28,33.25,2,11
2017-03-29,33.25,2,11
2017-03-30,33.25,2,11
2017-03-31,33.25,2,11
2017-04-03,26.25,2,11
2017-04-04,26.25,2,11
2017-04-05,26.25,2,11
2017-04-06,26.25,2,11
2017-04-07,26.25,2,11
2017-04-10,26.25,2,11
2017-04-11,26.25,2,11
2017-04-12,26.25,2,11
2017-04-13,26.25,2,11
2017-04-17,26.25,2,11
2017-04-18,26.25,2,11
2017-04-19,26.25,2,11
2017-04-20,26.25,2,11
2017-04-21,26.25,2,11
2017-04-24,26.25,2,11
2017-04-25,26.25,2,11
2017-04-26,26.25,2,11
2017-04-27,26.25,2,11
2017-04-28,26.25,2,11
2017-05-01,26.25,2,11
2017-05-02,26.25,2,11
2017-05-03,26.25,2,11
2017-05-04,26.25,2,11
2017-05-05,26.25,2,11
2017-05-08,26.25,2,11
2017-05-09,26.25,2,11
2017-05-10,26.25,2,11
2017-05-11,26.25,2,11
2017-05-12,26.25,2,11
2017-05-15,26.25,2,11
2017-05-16,26.25,2,11
2017-05-17,21.0,1,11
2017-05-18,21.0,1,11
2017-05-19,21.0,1,11
2017-05-22,21.0,1,11
2017-05-23,21.0,1,11
2017-05-24,21.0,1,11
2017-05-25,21.0,1,11
2017-05-26,21.0,1,11
2017-05-30,21.0,1,11
2017-05-31,21.0,1,11
2017-06-01,21.0,1,11
2017-06-02,21.0,1,11
2017-06-05,21.0,1,11
2017-06-06,21.0,1,11
2017-06-07,21.0,1,11
2017-06-08,21.0,1,11
2017-06-09,21.0,1,11
2017-06-12,21.0,1,11
2017-06-13,21.0,1,11
2017-06-14,28.0,2,11
2017-06-15,28.0,2,11
2017-06-16,21.0,1,11
2017-06-19,21.0,1,11
2017-06-20,21.0,1,11
2017-06-21,21.0,1,11
2017-06-22,21.0,1,11
2017-06-23,21.0,1,11
2017-06-26,28.0,2,11
2017-06-27,21.0,1,11
2017-06-28,21.0,1,11
2017-06-29,21.0,1,11
2017-06-30,28.0,2,11
2017-07-03,21.0,1,11
2017-07-05,21.0,1,11
2017-07-06,21.0,1,11
2017-07-07,21.0,1,11
2017-07-10,28.0,2,11
2017-07-11,33.25,2,11
2017-07-12,28.0,2,11
2017-07-13,28.0,2,11
2017-07-14,28.0,2,11
2017-07-17,28.0,2,11
2017-07-18,43.0,2,11
2017-07-19,43.0,2,11
2017-07-20,36.0,2,11
2017-07-21,36.0,2,11
2017-07-24,36.0,2,11
2017-07-25,36.0,2,11
2017-07-26,36.0,2,11
2017-07-27,36.0,2,11
2017-07-28,36.0,2,11
2017-07-31,36.0,2,11
2017-08-01,36.0,2,11
2017-08-02,36.0,2,11
2017-08-03,36.0,2,11
2017-08-04,36.0,2,11
2017-08-07,36.0,2,11
2017-08-08,36.0,2,11
2017-08-09,36.0,2,11
2017-08-10,36.0,2,11
2017-08-11,36.0,2,11
2017-08-14,36.0,2,11
2017-08-15,36.0,2,11
2017-08-16,36.0,2,11
2017-08-17,36.0,2,11
2017-08-18,36.0,2,11
2017-08-21,36.0,2,11
2017-08-22,36.0,2,11
2017-08-23,36.0,2,11
2017-08-24,36.0,2,11
2017-08-25,36.0,2,11
2017-08-28,36.0,2,11
2017-08-29,36.0,2,11
2017-08-30,36.0,2,11
2017-08-31,36.0,2,11
2017-09-01,36.0,2,11
2017-09-05,36.0,2,11
2017-09-06,36.0,2,11
2017-09-07,36.0,2,11
2017-09-08,36.0,2,11
2017-09-11,36.0,2,11
2017-09-12,43.0,2,11
2017-09-13,43.0,2,11
2017-09-14,51.0,2,11
2017-09-15,43.0,2,11
2017-09-18,43.0,2,11
2017-09-19,43.0,2,11
2017-09-20,43.0,2,11
2017-09-21,43.0,2,11
2017-09-22,43.0,2,11
2017-09-25,43.0,2,11
2017-09-26,43.0,2,11
2017-09-27,36.0,2,11
2017-09-28,36.0,2,11
2017-09-29,36.0,2,11
2017-10-02,36.0,2,11
2017-10-03,36.0,2,11
2017-10-04,36.0,2,11
2017-10-05,36.0,2,11
2017-10-06,36.0,2,11
2017-10-09,36.0,2,11
2017-10-10,36.0,2,11
2017-10-11,36.0,2,11
2017-10-12,36.0,2,11
2017-10-13,36.0,2,11
2017-10-16,36.0,2,11
2017-10-17,36.0,2,11
2017-10-18,36.0,2,11
2017-10-19,36.0,2,11
2017-10-20,36.0,2,11
2017-10-23,36.0,2,11
2017-10-24,36.0,2,11
2017-10-25,36.0,2,11
2017-10-26,36.0,2,11
2017-10-27,36.0,2,11
2017-10-30,36.0,2,11
2017-10-31,36.0,2,11
2017-11-01,36.0,2,11
2017-11-02,36.0,2,11
2017-11-03,36.0,2,11
2017-11-06,36.0,2,11
2017-11-07,36.0,2,11
2017-11-08,36.0,2,11
2017-11-09,36.0,2,11
2017-11-10,36.0,2,11
2017-11-13,36.0,2,11
2017-11-14,36.0,2,11
2017-11-15,36.0,2,11
2017-11-16,36.0,2,11
2017-11-17,36.0,2,11
2017-11-20,36.0,2,11
2017-11-21,36.0,2,11
2017-11-22,36.0,2,11
